Vernier Format 2
DFA_CONSTANTE_19.11_PRE.cmbl 19/11/2024 17:27:30 .
Latest
Time	Force 1	Force 2	Forca Total	Alvo
t	F 1	F 2	FT	AL
s	N	N		

0	2.34187446162	7.00732855708	9.3492030187	18.9 
0.01	2.34187446162	7.00732855708	9.3492030187	18.9
0.02	2.34187446162	7.00732855708	9.3492030187	18.9
0.03	2.34187446162	7.00732855708	9.3492030187	18.9
0.04	2.34187446162	7.00732855708	9.3492030187	18.9
0.05	2.12776019797	7.00732855708	9.13508875505	18.9
0.06	2.12776019797	7.00732855708	9.13508875505	18.9
0.07	2.12776019797	7.00732855708	9.13508875505	18.9
0.08	2.12776019797	7.00732855708	9.13508875505	18.9
0.09	2.12776019797	7.00732855708	9.13508875505	18.9
0.1	2.12776019797	7.00732855708	9.13508875505	18.9
0.11	2.34187446162	7.00732855708	9.3492030187	18.9
0.12	2.34187446162	7.00732855708	9.3492030187	18.9
0.13	2.34187446162	7.00732855708	9.3492030187	18.9
0.14	2.34187446162	7.00732855708	9.3492030187	18.9
0.15	2.34187446162	7.00732855708	9.3492030187	18.9
0.16	2.34187446162	7.22199086682	9.56386532844	18.9
0.17	2.12776019797	7.00732855708	9.13508875505	18.9
0.18	2.34187446162	7.00732855708	9.3492030187	18.9
0.19	2.12776019797	7.00732855708	9.13508875505	18.9
0.2	2.34187446162	7.00732855708	9.3492030187	18.9
0.21	2.34187446162	7.00732855708	9.3492030187	18.9
0.22	2.34187446162	6.79266624735	9.13454070897	18.9
0.23	2.12776019797	7.00732855708	9.13508875505	18.9
0.24	2.12776019797	7.00732855708	9.13508875505	18.9
0.25	2.34187446162	7.00732855708	9.3492030187	18.9
0.26	2.12776019797	7.00732855708	9.13508875505	18.9
0.27	2.34187446162	7.00732855708	9.3492030187	18.9
0.28	2.34187446162	7.00732855708	9.3492030187	18.9
0.29	2.34187446162	7.22199086682	9.56386532844	18.9
0.3	2.12776019797	7.00732855708	9.13508875505	18.9
0.31	2.12776019797	7.00732855708	9.13508875505	18.9
0.32	2.12776019797	7.00732855708	9.13508875505	18.9
0.33	2.12776019797	7.00732855708	9.13508875505	18.9
0.34	2.12776019797	7.00732855708	9.13508875505	18.9
0.35	2.34187446162	7.00732855708	9.3492030187	18.9
0.36	2.34187446162	7.00732855708	9.3492030187	18.9
0.37	2.12776019797	7.00732855708	9.13508875505	18.9
0.38	2.12776019797	7.00732855708	9.13508875505	18.9
0.39	2.34187446162	7.00732855708	9.3492030187	18.9
0.4	2.34187446162	7.00732855708	9.3492030187	18.9
0.41	2.34187446162	7.00732855708	9.3492030187	18.9
0.42	2.34187446162	7.00732855708	9.3492030187	18.9
0.43	2.12776019797	7.00732855708	9.13508875505	18.9
0.44	2.34187446162	7.00732855708	9.3492030187	18.9
0.45	2.12776019797	7.00732855708	9.13508875505	18.9
0.46	2.12776019797	7.00732855708	9.13508875505	18.9
0.47	2.34187446162	7.00732855708	9.3492030187	18.9
0.48	2.12776019797	7.00732855708	9.13508875505	18.9
0.49	2.34187446162	7.00732855708	9.3492030187	18.9
0.5	2.12776019797	7.00732855708	9.13508875505	18.9
0.51	2.34187446162	7.22199086682	9.56386532844	18.9
0.52	2.34187446162	7.00732855708	9.3492030187	18.9
0.53	2.12776019797	6.79266624735	8.92042644531	18.9
0.54	2.34187446162	7.22199086682	9.56386532844	18.9
0.55	2.34187446162	7.00732855708	9.3492030187	18.9
0.56	2.12776019797	7.00732855708	9.13508875505	18.9
0.57	2.34187446162	7.00732855708	9.3492030187	18.9
0.58	2.12776019797	7.00732855708	9.13508875505	18.9
0.59	2.34187446162	7.00732855708	9.3492030187	18.9
0.6	2.34187446162	7.00732855708	9.3492030187	18.9
0.61	2.34187446162	7.22199086682	9.56386532844	18.9
0.62	2.12776019797	7.00732855708	9.13508875505	18.9
0.63	2.34187446162	7.22199086682	9.56386532844	18.9
0.64	2.12776019797	7.00732855708	9.13508875505	18.9
0.65	2.34187446162	7.00732855708	9.3492030187	18.9
0.66	2.34187446162	7.22199086682	9.56386532844	18.9
0.67	2.34187446162	7.00732855708	9.3492030187	18.9
0.68	2.34187446162	7.00732855708	9.3492030187	18.9
0.69	2.34187446162	7.22199086682	9.56386532844	18.9
0.7	2.34187446162	7.22199086682	9.56386532844	18.9
0.71	2.34187446162	7.22199086682	9.56386532844	18.9
0.72	2.34187446162	7.22199086682	9.56386532844	18.9
0.73	2.34187446162	7.22199086682	9.56386532844	18.9
0.74	2.34187446162	7.22199086682	9.56386532844	18.9
0.75	2.34187446162	7.22199086682	9.56386532844	18.9
0.76	2.34187446162	7.22199086682	9.56386532844	18.9
0.77	2.34187446162	7.22199086682	9.56386532844	18.9
0.78	2.34187446162	7.22199086682	9.56386532844	18.9
0.79	2.34187446162	7.22199086682	9.56386532844	18.9
0.8	2.34187446162	7.22199086682	9.56386532844	18.9
0.81	2.34187446162	7.22199086682	9.56386532844	18.9
0.82	2.34187446162	7.22199086682	9.56386532844	18.9
0.83	2.34187446162	7.22199086682	9.56386532844	18.9
0.84	2.34187446162	7.22199086682	9.56386532844	18.9
0.85	2.34187446162	7.22199086682	9.56386532844	18.9
0.86	2.34187446162	7.22199086682	9.56386532844	18.9
0.87	2.34187446162	7.22199086682	9.56386532844	18.9
0.88	2.12776019797	7.22199086682	9.34975106479	18.9
0.89	2.34187446162	7.22199086682	9.56386532844	18.9
0.9	2.34187446162	7.22199086682	9.56386532844	18.9
0.91	2.34187446162	7.22199086682	9.56386532844	18.9
0.92	2.34187446162	7.22199086682	9.56386532844	18.9
0.93	2.34187446162	7.22199086682	9.56386532844	18.9
0.94	2.34187446162	7.22199086682	9.56386532844	18.9
0.95	2.34187446162	7.22199086682	9.56386532844	18.9
0.96	2.34187446162	7.22199086682	9.56386532844	18.9
